1	 1:.0754	 2:0	 3:.0143	 4:.65	 5:.32	 6:.127
1	 1:.0921	 2:1	 3:.0203	 4:.522	 5:.224	 6:.174
0	 1:.075	 2:1	 3:.0152	 4:.738	 5:.312	 6:.101
0	 1:.0747	 2:0	 3:.0148	 4:.708	 5:.27	 6:.14
0	 1:.0747	 2:0	 3:.137	 4:.21	 5:.237	 6:.114
0	 1:.0725	 2:0	 3:.0348	 4:.507	 5:.285	 6:.118
0	 1:.0705	 2:1	 3:.0183	 4:.257	 5:.289	 6:.0699
0	 1:.113	 2:0	 3:.00444	 4:.499	 5:.274	 6:.107
0	 1:.044	 2:0	 3:.0252	 4:.224	 5:.283	 6:.178
0	 1:.0675	 2:0	 3:.0196	 4:.522	 5:.191	 6:.102
0	 1:.0668	 2:0	 3:.0155	 4:.676	 5:.209	 6:.0785
0	 1:.0611	 2:1	 3:.046	 4:.286	 5:.216	 6:.0827
0	 1:.199	 2:0	 3:.025	 4:.178	 5:.278	 6:.163
0	 1:.0611	 2:1	 3:.0935	 4:.522	 5:.237	 6:.0818
0	 1:.0633	 2:0	 3:.0262	 4:0	 5:.241	 6:.217
0	 1:.0633	 2:0	 3:.0151	 4:.697	 5:.246	 6:.0839
0	 1:.0632	 2:0	 3:.0109	 4:.178	 5:.224	 6:.128
0	 1:.0631	 2:0	 3:.019	 4:.732	 5:.273	 6:.124
0	 1:.0423	 2:0	 3:.0526	 4:.21	 5:.219	 6:.0766
0	 1:.0613	 2:0	 3:.0357	 4:.461	 5:.223	 6:.137
0	 1:.0606	 2:0	 3:.192	 4:0	 5:.287	 6:.16
0	 1:.074	 2:0	 3:.00916	 4:.388	 5:.295	 6:.172
0	 1:.154	 2:0	 3:.0445	 4:.708	 5:.287	 6:.101
0	 1:.0547	 2:1	 3:.00682	 4:.968	 5:.239	 6:.1
0	 1:.0542	 2:1	 3:.00389	 4:.522	 5:.326	 6:.0705
0	 1:.0538	 2:0	 3:.00813	 4:.522	 5:.179	 6:.0872
0	 1:.0351	 2:1	 3:.00468	 4:.21	 5:.267	 6:.09
0	 1:.0523	 2:0	 3:.00347	 4:.519	 5:.254	 6:.0876
0	 1:.0611	 2:0	 3:.0494	 4:.0758	 5:.17	 6:.0774
0	 1:.0506	 2:1	 3:.0103	 4:.522	 5:.209	 6:.118
0	 1:.0485	 2:0	 3:.00524	 4:.528	 5:.231	 6:.068
0	 1:.0469	 2:0	 3:.00707	 4:.21	 5:.232	 6:.0669
0	 1:.0462	 2:0	 3:.0328	 4:.178	 5:.226	 6:.0607
0	 1:.0331	 2:1	 3:.0224	 4:.697	 5:.19	 6:.1
0	 1:.116	 2:1	 3:.00737	 4:0	 5:.135	 6:.0599
0	 1:.0427	 2:0	 3:.0538	 4:.178	 5:.252	 6:.187
0	 1:.0424	 2:0	 3:.0178	 4:.224	 5:.234	 6:.15
0	 1:.0422	 2:0	 3:.0063	 4:.784	 5:.221	 6:.122
0	 1:.0419	 2:0	 3:.0924	 4:.262	 5:.195	 6:.0743
0	 1:.111	 2:0	 3:.0283	 4:.487	 5:.174	 6:.0977
0	 1:.0234	 2:1	 3:.00963	 4:.487	 5:.327	 6:.054
0	 1:.0857	 2:1	 3:.0487	 4:.65	 5:.171	 6:.067
0	 1:.0392	 2:0	 3:.0213	 4:.178	 5:.181	 6:.0708
0	 1:.0392	 2:1	 3:.0146	 4:.519	 5:.226	 6:.0429
0	 1:.0391	 2:1	 3:.0131	 4:.44	 5:.155	 6:.144
